Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Major_Category,Year_of_Study,Burnout_Risk_Level,Burnout_Code
3.49,2,0,4,13.08,1,Allowed_With_Citation,3,Humanities,Freshman,High,0
15.38,0,1,2,10.19,2,Allowed_With_Citation,1,Humanities,Freshman,Medium,2
7.42,3,1,2,14.36,2,Strict_Ban,5,Business,Sophomore,Medium,2
7.5,2,1,3,8.68,5,Actively_Encouraged,8,STEM,Freshman,Low,1
28.32,4,0,4,17.69,4,Strict_Ban,7,Business,Junior,High,0
8.11,4,1,3,15.87,4,Strict_Ban,6,Medical,Senior,Medium,2
10.4,0,2,3,7.41,2,Actively_Encouraged,2,Humanities,Junior,Medium,2
7.21,4,2,5,13.18,5,Allowed_With_Citation,5,Medical,Graduate,Medium,2
4.58,4,0,4,3.87,5,Allowed_With_Citation,4,Medical,Junior,Medium,2
33.72,0,1,2,14.67,9,Strict_Ban,9,STEM,Freshman,High,0
9.29,0,0,3,7.27,2,Strict_Ban,3,STEM,Junior,Medium,2
2.17,4,1,3,20.98,3,Allowed_With_Citation,2,Medical,Graduate,Medium,2
4.34,1,0,3,15.01,1,Allowed_With_Citation,1,Medical,Freshman,Medium,2
9.71,2,2,2,12.98,5,Strict_Ban,5,STEM,Sophomore,Medium,2
12.05,3,1,1,2.05,2,Actively_Encouraged,3,STEM,Senior,Medium,2
5.92,1,2,4,3.04,1,Allowed_With_Citation,8,STEM,Sophomore,High,0
3.74,4,2,5,12.86,3,Allowed_With_Citation,4,Medical,Senior,Medium,2
40.0,1,1,2,3.72,8,Actively_Encouraged,5,STEM,Sophomore,High,0
6.62,2,0,4,13.39,6,Allowed_With_Citation,9,Business,Senior,Medium,2
2.5,0,2,3,17.85,4,Allowed_With_Citation,4,Arts,Junior,Low,1
4.32,4,1,1,16.62,4,Allowed_With_Citation,7,STEM,Freshman,Low,1
1.94,3,0,5,6.4,2,Actively_Encouraged,2,Business,Sophomore,Low,1
4.79,0,2,2,11.17,2,Allowed_With_Citation,7,STEM,Sophomore,Medium,2
21.44,0,1,2,5.05,6,Actively_Encouraged,3,Arts,Senior,High,0
0.79,1,2,4,6.0,1,Strict_Ban,2,STEM,Junior,Medium,2
17.88,3,0,3,14.66,3,Actively_Encouraged,5,Business,Senior,Low,1
10.98,3,1,3,12.21,4,Actively_Encouraged,7,Business,Sophomore,Low,1
2.03,2,2,5,9.65,2,Strict_Ban,5,STEM,Senior,Low,1
9.54,1,0,4,11.42,6,Allowed_With_Citation,3,STEM,Freshman,Low,1
4.02,0,1,1,10.21,3,Allowed_With_Citation,4,Humanities,Freshman,Medium,2
5.6,1,1,2,17.42,4,Allowed_With_Citation,1,STEM,Sophomore,Low,1
19.49,1,2,5,13.9,4,Actively_Encouraged,2,Arts,Senior,High,0
0.9,0,2,1,9.24,5,Allowed_With_Citation,4,Arts,Junior,Medium,2
1.35,0,0,5,15.62,3,Actively_Encouraged,7,Humanities,Sophomore,Low,1
1.12,2,1,3,5.19,2,Allowed_With_Citation,1,Business,Graduate,High,0
17.46,3,2,4,14.54,5,Actively_Encouraged,5,Business,Junior,Medium,2
31.96,2,1,1,13.6,5,Actively_Encouraged,6,Arts,Junior,High,0
0.19,0,0,5,16.24,2,Actively_Encouraged,5,Humanities,Graduate,Medium,2
0.77,1,2,4,7.9,3,Allowed_With_Citation,5,STEM,Junior,Medium,2
0.63,0,2,5,13.81,1,Allowed_With_Citation,3,STEM,Senior,Medium,2
3.01,2,0,5,1.25,4,Actively_Encouraged,5,Business,Sophomore,Medium,2
0.28,0,2,3,7.91,3,Strict_Ban,5,Humanities,Freshman,Low,1
14.0,0,1,1,10.59,3,Allowed_With_Citation,6,Humanities,Senior,High,0
8.26,1,1,1,10.42,4,Allowed_With_Citation,1,STEM,Graduate,Medium,2
6.1,3,1,3,1.0,5,Allowed_With_Citation,1,Business,Junior,Medium,2
0.43,2,1,2,14.87,4,Allowed_With_Citation,6,STEM,Junior,Medium,2
3.85,1,1,2,7.29,3,Allowed_With_Citation,4,STEM,Junior,Low,1
1.39,2,1,2,6.53,2,Allowed_With_Citation,5,Humanities,Graduate,High,0
10.14,1,0,4,3.49,4,Allowed_With_Citation,4,STEM,Graduate,Medium,2
15.04,1,2,2,14.84,3,Allowed_With_Citation,5,Business,Freshman,High,0
5.63,4,1,1,11.64,2,Strict_Ban,3,Humanities,Senior,Medium,2
6.71,1,1,2,13.51,4,Actively_Encouraged,7,Humanities,Junior,High,0
5.54,4,0,4,9.08,3,Actively_Encouraged,1,Business,Freshman,Low,1
2.98,2,0,5,13.45,3,Strict_Ban,4,STEM,Junior,Medium,2
0.39,3,1,2,12.39,2,Allowed_With_Citation,3,STEM,Freshman,Medium,2
1.02,4,1,1,18.8,1,Allowed_With_Citation,4,Medical,Graduate,Medium,2
1.36,3,1,3,13.76,3,Allowed_With_Citation,3,Humanities,Freshman,Medium,2
14.41,1,1,2,14.64,4,Strict_Ban,7,Humanities,Graduate,Medium,2
4.69,1,2,3,13.78,2,Allowed_With_Citation,2,STEM,Graduate,Medium,2
1.79,0,2,4,15.69,2,Allowed_With_Citation,5,Humanities,Freshman,Low,1
36.33,2,1,1,8.54,10,Allowed_With_Citation,6,Business,Senior,High,0
7.58,1,0,4,9.02,6,Actively_Encouraged,6,Business,Junior,Medium,2
3.08,3,1,3,15.5,5,Allowed_With_Citation,1,Business,Graduate,High,0
2.17,1,1,2,1.0,3,Allowed_With_Citation,3,STEM,Senior,Medium,2
8.12,1,0,4,7.68,1,Actively_Encouraged,1,STEM,Senior,High,0
4.81,4,1,2,19.89,3,Actively_Encouraged,6,Arts,Graduate,Medium,2
1.15,4,1,3,15.84,2,Allowed_With_Citation,6,Medical,Freshman,Low,1
1.69,1,2,3,7.04,1,Allowed_With_Citation,2,STEM,Sophomore,Low,1
6.9,1,2,4,11.82,4,Strict_Ban,3,Humanities,Senior,Medium,2
1.96,1,1,1,14.75,3,Strict_Ban,3,STEM,Freshman,Low,1
1.07,4,0,4,15.6,3,Strict_Ban,6,STEM,Graduate,Low,1
3.47,0,0,5,14.57,1,Allowed_With_Citation,8,Humanities,Senior,Low,1
12.54,3,0,3,10.93,4,Strict_Ban,7,STEM,Junior,High,0
2.44,2,0,3,12.33,2,Allowed_With_Citation,4,Business,Sophomore,Medium,2
0.55,3,1,2,22.7,1,Allowed_With_Citation,7,Business,Freshman,Medium,2
1.53,1,1,2,15.27,1,Allowed_With_Citation,3,STEM,Freshman,Low,1
7.77,2,0,3,9.83,4,Allowed_With_Citation,4,STEM,Junior,Medium,2
5.96,0,1,3,13.37,1,Actively_Encouraged,6,Arts,Senior,Medium,2
3.69,3,2,2,7.89,3,Allowed_With_Citation,3,STEM,Junior,Low,1
32.22,1,2,5,1.52,8,Allowed_With_Citation,8,Business,Junior,Medium,2
4.03,0,1,1,14.28,3,Strict_Ban,5,Humanities,Sophomore,Low,1
11.32,1,1,1,3.1,3,Allowed_With_Citation,3,Business,Freshman,Low,1
0.39,1,2,2,11.5,2,Allowed_With_Citation,3,Humanities,Graduate,Medium,2
13.8,1,0,4,9.55,2,Strict_Ban,7,STEM,Freshman,Low,1
38.47,1,0,4,5.33,7,Actively_Encouraged,8,STEM,Sophomore,Medium,2
12.89,3,2,3,4.01,2,Allowed_With_Citation,3,STEM,Senior,Low,1
28.68,2,1,2,10.51,9,Actively_Encouraged,6,Humanities,Junior,High,0
16.85,1,2,2,7.96,6,Allowed_With_Citation,4,Business,Sophomore,Medium,2
7.38,1,2,3,11.57,1,Allowed_With_Citation,3,STEM,Graduate,Low,1
7.97,2,1,2,13.68,2,Allowed_With_Citation,1,STEM,Junior,Medium,2
12.16,3,1,2,18.6,3,Allowed_With_Citation,4,Business,Sophomore,Medium,2
3.24,0,1,1,15.6,5,Allowed_With_Citation,2,Business,Senior,Medium,2
7.79,4,1,3,10.47,2,Actively_Encouraged,4,Medical,Freshman,Low,1
2.4,3,1,2,18.31,3,Actively_Encouraged,1,Business,Junior,Low,1
7.57,0,0,3,1.0,5,Allowed_With_Citation,5,Humanities,Senior,Medium,2
2.57,3,1,2,16.04,3,Actively_Encouraged,5,Business,Graduate,Low,1
18.47,4,1,3,4.13,4,Allowed_With_Citation,6,Medical,Sophomore,Medium,2
0.89,3,1,3,10.9,4,Allowed_With_Citation,3,Arts,Freshman,Medium,2
5.32,1,2,3,10.06,3,Actively_Encouraged,4,Humanities,Junior,High,0
23.19,2,0,4,12.41,5,Allowed_With_Citation,7,STEM,Graduate,Medium,2
3.97,1,0,3,15.59,1,Allowed_With_Citation,4,STEM,Senior,Low,1
1.89,3,0,4,2.42,2,Allowed_With_Citation,5,Business,Junior,High,0
7.41,3,2,4,17.54,4,Actively_Encouraged,3,Business,Sophomore,Low,1
14.19,3,0,4,7.93,6,Actively_Encouraged,4,Business,Junior,Medium,2
0.2,1,0,3,9.44,4,Allowed_With_Citation,4,STEM,Graduate,High,0
5.77,4,0,5,9.94,2,Strict_Ban,6,Business,Sophomore,Low,1
11.65,0,2,4,14.6,3,Actively_Encouraged,2,Arts,Sophomore,Medium,2
14.56,2,2,1,9.37,5,Allowed_With_Citation,8,STEM,Junior,High,0
0.29,2,1,3,16.39,1,Allowed_With_Citation,1,Business,Sophomore,Low,1
4.02,0,1,2,12.15,4,Actively_Encouraged,5,Humanities,Junior,Low,1
4.86,4,0,3,15.11,2,Strict_Ban,5,Medical,Freshman,Medium,2
0.99,0,2,1,11.31,1,Allowed_With_Citation,5,Arts,Sophomore,Low,1
0.07,3,2,3,15.4,3,Actively_Encouraged,2,Business,Senior,Low,1
24.97,3,2,1,4.72,7,Allowed_With_Citation,3,Business,Sophomore,High,0
16.55,1,2,2,12.87,5,Strict_Ban,5,Medical,Graduate,High,0
1.96,0,2,2,9.01,2,Actively_Encouraged,2,Humanities,Senior,Low,1
2.12,0,0,3,15.1,1,Actively_Encouraged,2,Humanities,Sophomore,Low,1
6.31,4,0,3,13.48,2,Strict_Ban,4,Arts,Sophomore,Low,1
3.89,4,0,3,8.22,1,Strict_Ban,5,STEM,Senior,Medium,2
17.77,0,1,2,8.77,7,Allowed_With_Citation,4,Humanities,Sophomore,Medium,2
7.52,0,1,2,14.11,5,Strict_Ban,3,Arts,Graduate,High,0
10.28,3,1,2,12.25,6,Strict_Ban,7,Business,Freshman,Medium,2
0.86,1,1,1,12.07,4,Allowed_With_Citation,4,Humanities,Freshman,Low,1
11.87,1,0,5,13.48,6,Allowed_With_Citation,7,STEM,Sophomore,Medium,2
3.34,0,2,3,9.43,3,Actively_Encouraged,1,Humanities,Junior,High,0
0.48,1,1,1,10.19,3,Actively_Encouraged,2,STEM,Senior,Medium,2
11.13,1,2,4,6.37,3,Allowed_With_Citation,1,STEM,Freshman,High,0
1.38,0,1,2,11.51,2,Actively_Encouraged,8,Business,Junior,Low,1
14.1,0,0,5,12.54,3,Allowed_With_Citation,4,STEM,Freshman,Low,1
7.81,0,1,1,7.83,3,Allowed_With_Citation,5,Humanities,Junior,Low,1
6.9,0,1,2,4.35,5,Allowed_With_Citation,3,Humanities,Freshman,Low,1
5.52,3,1,1,11.91,1,Actively_Encouraged,3,Medical,Junior,Low,1
0.58,0,2,2,14.27,1,Actively_Encouraged,3,Humanities,Junior,Low,1
9.1,1,2,4,6.71,5,Actively_Encouraged,2,STEM,Freshman,Medium,2
14.6,1,1,3,11.62,7,Actively_Encouraged,4,STEM,Senior,Medium,2
3.84,3,0,4,14.38,5,Strict_Ban,4,Business,Junior,Low,1
16.67,3,2,2,7.06,6,Allowed_With_Citation,7,Business,Junior,Medium,2
13.87,0,2,4,9.11,6,Allowed_With_Citation,7,Humanities,Junior,High,0
1.84,4,2,2,13.4,1,Allowed_With_Citation,6,Humanities,Senior,Medium,2
12.15,3,1,2,3.97,5,Allowed_With_Citation,7,STEM,Junior,High,0
1.09,3,1,3,12.31,2,Strict_Ban,4,Business,Graduate,Medium,2
1.58,4,0,4,14.71,2,Strict_Ban,5,Business,Graduate,Medium,2
6.32,1,2,4,15.07,1,Allowed_With_Citation,1,STEM,Senior,Low,1
5.57,0,2,5,3.82,1,Actively_Encouraged,3,STEM,Graduate,Low,1
6.84,1,0,4,21.22,3,Strict_Ban,3,STEM,Graduate,Medium,2
3.42,3,2,2,7.85,5,Allowed_With_Citation,7,STEM,Sophomore,Low,1
2.28,3,2,3,15.4,2,Allowed_With_Citation,4,Business,Graduate,Medium,2
4.34,1,1,3,9.91,3,Actively_Encouraged,2,STEM,Sophomore,Medium,2
21.44,1,2,2,8.89,5,Allowed_With_Citation,6,STEM,Freshman,High,0
10.57,3,2,3,17.22,4,Allowed_With_Citation,7,STEM,Graduate,Medium,2
11.51,1,1,3,11.93,3,Actively_Encouraged,4,Medical,Sophomore,Medium,2
17.06,2,2,5,14.24,6,Actively_Encouraged,3,Arts,Junior,Low,1
9.26,1,1,2,7.3,2,Allowed_With_Citation,5,STEM,Graduate,Low,1
13.4,0,2,3,5.71,4,Allowed_With_Citation,3,Humanities,Freshman,Medium,2
5.78,1,2,2,13.07,1,Allowed_With_Citation,5,STEM,Sophomore,Low,1
9.33,0,1,2,7.66,6,Actively_Encouraged,8,Humanities,Junior,High,0
1.21,1,1,1,11.95,2,Strict_Ban,5,STEM,Senior,Medium,2
22.79,0,2,1,10.87,8,Actively_Encouraged,6,Business,Senior,High,0
8.34,3,0,4,12.26,6,Actively_Encouraged,6,Business,Graduate,High,0
23.21,1,0,3,12.76,7,Actively_Encouraged,6,Medical,Freshman,High,0
6.88,1,2,4,11.02,3,Allowed_With_Citation,4,STEM,Sophomore,High,0
0.09,2,1,1,12.88,4,Strict_Ban,4,Arts,Senior,Medium,2
4.05,2,2,5,2.74,2,Allowed_With_Citation,6,Arts,Senior,Medium,2
0.42,1,0,3,9.08,4,Allowed_With_Citation,8,STEM,Sophomore,Low,1
21.07,3,1,1,14.91,3,Strict_Ban,4,Humanities,Sophomore,High,0
11.36,1,0,5,19.16,5,Allowed_With_Citation,3,STEM,Sophomore,Low,1
1.22,1,0,3,23.72,2,Allowed_With_Citation,6,STEM,Graduate,Medium,2
9.93,1,1,3,10.6,2,Allowed_With_Citation,5,STEM,Graduate,Medium,2
1.53,3,2,2,25.63,3,Allowed_With_Citation,1,Business,Freshman,Low,1
3.52,0,1,3,9.31,3,Allowed_With_Citation,3,Humanities,Sophomore,Low,1
4.22,2,1,1,11.34,2,Strict_Ban,2,Medical,Sophomore,Low,1
3.95,1,2,1,19.91,1,Allowed_With_Citation,1,STEM,Graduate,Medium,2
2.46,4,1,2,16.37,3,Strict_Ban,3,Medical,Graduate,Medium,2
5.25,1,0,3,12.26,2,Strict_Ban,3,STEM,Junior,Medium,2
3.3,0,0,4,17.35,3,Allowed_With_Citation,8,Arts,Freshman,Low,1
0.22,2,1,3,10.68,2,Strict_Ban,2,Humanities,Freshman,Medium,2
39.33,1,0,3,16.98,6,Allowed_With_Citation,5,STEM,Junior,High,0
0.56,1,1,2,17.88,4,Allowed_With_Citation,4,Arts,Graduate,Medium,2
0.37,0,1,1,7.51,3,Allowed_With_Citation,5,Humanities,Freshman,Low,1
3.15,3,1,2,5.65,4,Allowed_With_Citation,4,Business,Senior,Medium,2
33.48,2,1,1,11.44,7,Allowed_With_Citation,1,Business,Freshman,High,0
0.26,4,2,2,5.0,3,Actively_Encouraged,3,Humanities,Junior,Low,1
1.25,0,0,3,14.35,3,Strict_Ban,3,Humanities,Senior,Medium,2
0.27,4,0,3,14.86,1,Allowed_With_Citation,2,Business,Senior,Low,1
6.04,1,0,5,3.45,3,Allowed_With_Citation,2,STEM,Senior,Medium,2
0.68,2,2,3,8.05,3,Actively_Encouraged,9,Business,Senior,Medium,2
16.95,4,1,1,4.2,4,Allowed_With_Citation,4,Medical,Sophomore,High,0
1.28,1,2,4,7.84,2,Actively_Encouraged,2,STEM,Sophomore,Medium,2
8.52,3,1,1,1.0,2,Actively_Encouraged,3,STEM,Senior,Medium,2
8.17,3,1,2,7.32,3,Allowed_With_Citation,2,Business,Freshman,Low,1
7.94,3,0,5,14.18,3,Allowed_With_Citation,3,Humanities,Junior,High,0
1.0,0,1,3,12.32,2,Allowed_With_Citation,10,Humanities,Graduate,Medium,2
12.92,1,2,3,15.68,5,Allowed_With_Citation,3,STEM,Graduate,Low,1
5.44,3,0,3,11.33,2,Allowed_With_Citation,7,Business,Senior,Low,1
0.73,2,1,1,7.82,2,Strict_Ban,4,STEM,Freshman,Low,1
5.78,0,1,2,6.06,4,Actively_Encouraged,7,Humanities,Graduate,Medium,2
6.04,0,0,4,8.15,2,Allowed_With_Citation,9,Arts,Graduate,Medium,2
0.42,4,0,4,11.21,2,Allowed_With_Citation,6,STEM,Senior,Medium,2
12.28,1,0,3,14.75,5,Actively_Encouraged,7,Humanities,Sophomore,Low,1
1.37,3,1,2,9.44,1,Strict_Ban,2,Medical,Junior,Medium,2
11.43,3,0,5,12.52,7,Allowed_With_Citation,6,Business,Senior,Medium,2
4.32,0,2,4,13.35,4,Allowed_With_Citation,2,Arts,Senior,Medium,2
0.07,1,1,2,13.1,3,Strict_Ban,3,Humanities,Sophomore,Low,1
15.24,4,1,2,10.38,5,Allowed_With_Citation,5,Arts,Sophomore,High,0
4.32,2,2,4,13.86,3,Allowed_With_Citation,5,STEM,Senior,Low,1
40.0,1,0,5,7.35,8,Allowed_With_Citation,3,STEM,Senior,Medium,2
1.42,4,0,5,4.0,1,Strict_Ban,1,STEM,Junior,Medium,2
7.8,1,1,2,3.95,5,Actively_Encouraged,5,Humanities,Junior,Medium,2
0.53,0,1,2,13.83,4,Allowed_With_Citation,1,Arts,Senior,High,0
1.23,0,0,5,6.71,3,Allowed_With_Citation,6,Humanities,Freshman,Low,1
6.83,2,1,2,17.37,4,Strict_Ban,3,Business,Freshman,Medium,2
0.83,4,2,4,17.16,3,Allowed_With_Citation,3,Business,Junior,Low,1
8.57,2,1,1,11.3,3,Actively_Encouraged,3,Business,Freshman,Low,1
5.26,0,1,3,13.09,3,Allowed_With_Citation,4,Humanities,Senior,Low,1
0.24,0,2,4,9.86,1,Allowed_With_Citation,4,Business,Senior,Low,1
10.86,0,2,4,18.39,5,Allowed_With_Citation,8,Humanities,Senior,High,0
7.38,1,1,2,8.12,4,Strict_Ban,1,STEM,Graduate,High,0
10.55,4,1,3,13.42,5,Actively_Encouraged,6,Medical,Freshman,Low,1
24.86,1,2,2,7.68,5,Allowed_With_Citation,7,STEM,Sophomore,High,0
9.4,1,2,4,17.66,6,Actively_Encouraged,4,STEM,Sophomore,High,0
2.49,1,0,3,9.56,2,Allowed_With_Citation,6,Medical,Senior,High,0
8.42,0,2,3,15.27,3,Actively_Encouraged,6,Humanities,Junior,Medium,2
17.59,3,2,3,22.27,6,Strict_Ban,6,Business,Sophomore,Medium,2
7.4,0,1,2,5.42,4,Allowed_With_Citation,5,Humanities,Freshman,Medium,2
15.26,3,1,3,11.22,5,Allowed_With_Citation,4,Humanities,Graduate,High,0
33.81,0,1,2,4.11,7,Allowed_With_Citation,4,STEM,Senior,High,0
8.91,4,1,2,4.43,3,Allowed_With_Citation,4,Humanities,Junior,Medium,2
4.58,0,1,1,8.8,3,Allowed_With_Citation,3,Humanities,Graduate,Low,1
0.15,3,0,3,11.81,1,Allowed_With_Citation,4,Business,Senior,Medium,2
15.15,2,1,3,11.66,3,Strict_Ban,4,Business,Freshman,Medium,2
4.26,2,1,3,15.15,3,Actively_Encouraged,5,Medical,Junior,High,0
11.57,3,0,4,12.14,3,Actively_Encouraged,3,STEM,Junior,Medium,2
7.02,0,1,3,1.93,2,Allowed_With_Citation,5,Business,Senior,Medium,2
14.48,1,2,2,9.75,6,Allowed_With_Citation,5,Business,Freshman,Low,1
1.93,1,2,2,22.23,3,Allowed_With_Citation,4,Medical,Junior,Low,1
3.32,1,2,4,10.77,3,Allowed_With_Citation,1,STEM,Junior,High,0
11.5,1,0,4,6.13,4,Allowed_With_Citation,7,Business,Graduate,Low,1
2.36,3,2,4,12.31,2,Allowed_With_Citation,2,Arts,Graduate,Medium,2
0.55,1,1,2,15.88,1,Actively_Encouraged,4,STEM,Junior,Low,1
25.65,2,2,1,8.79,3,Actively_Encouraged,7,Medical,Junior,High,0
4.03,0,0,4,15.63,2,Strict_Ban,5,STEM,Graduate,Low,1
15.71,2,1,2,14.49,5,Allowed_With_Citation,6,Business,Senior,High,0
3.0,4,1,3,14.87,3,Allowed_With_Citation,1,Medical,Graduate,Medium,2
0.2,3,0,4,17.56,2,Allowed_With_Citation,6,Business,Graduate,Medium,2
0.08,2,2,1,16.63,1,Actively_Encouraged,2,Humanities,Senior,Medium,2
20.93,1,1,1,7.22,5,Actively_Encouraged,7,STEM,Freshman,High,0
12.76,4,2,2,17.06,5,Actively_Encouraged,7,Medical,Sophomore,Medium,2
11.54,4,2,1,3.27,5,Allowed_With_Citation,3,Humanities,Sophomore,Low,1
37.55,1,2,4,16.42,8,Actively_Encouraged,3,STEM,Senior,High,0
4.05,0,2,3,14.55,5,Actively_Encouraged,4,Business,Sophomore,Low,1
2.37,1,2,5,16.23,5,Allowed_With_Citation,1,Humanities,Sophomore,Medium,2
1.03,1,0,4,16.06,4,Strict_Ban,3,STEM,Sophomore,Low,1
26.5,1,1,2,12.88,7,Strict_Ban,9,STEM,Graduate,High,0
40.0,1,0,4,8.58,6,Strict_Ban,9,STEM,Junior,High,0
1.3,0,0,3,2.72,4,Allowed_With_Citation,4,Business,Freshman,Low,1
2.99,2,1,1,8.2,2,Actively_Encouraged,5,Business,Freshman,Low,1
1.28,0,1,3,18.09,2,Allowed_With_Citation,7,Business,Sophomore,Low,1
0.4,0,1,2,7.79,5,Actively_Encouraged,3,Arts,Graduate,Medium,2
6.4,2,0,3,11.7,5,Allowed_With_Citation,3,Arts,Graduate,High,0
6.16,0,1,2,13.46,2,Allowed_With_Citation,6,Business,Junior,Medium,2
23.05,1,0,4,14.56,4,Strict_Ban,5,STEM,Senior,High,0
20.61,0,1,3,11.0,7,Allowed_With_Citation,3,Business,Senior,Medium,2
5.4,0,1,2,4.16,6,Allowed_With_Citation,2,Humanities,Freshman,Medium,2
9.73,0,2,5,10.99,5,Allowed_With_Citation,4,Business,Sophomore,Medium,2
15.97,1,0,3,13.1,4,Allowed_With_Citation,5,Business,Senior,Medium,2
1.63,0,1,3,8.84,1,Allowed_With_Citation,4,Humanities,Graduate,Medium,2
6.36,4,0,3,3.03,4,Strict_Ban,3,Medical,Senior,Medium,2
6.75,1,1,1,10.27,4,Allowed_With_Citation,7,STEM,Sophomore,High,0
2.59,2,2,4,20.21,3,Actively_Encouraged,3,Business,Graduate,Medium,2
2.11,1,0,5,10.42,1,Strict_Ban,8,STEM,Senior,High,0
0.57,0,1,2,3.44,1,Strict_Ban,1,Medical,Senior,Low,1
3.03,1,2,5,15.19,2,Allowed_With_Citation,5,STEM,Sophomore,Low,1
4.55,0,0,4,1.0,4,Allowed_With_Citation,1,STEM,Freshman,High,0
13.73,0,1,1,9.57,5,Allowed_With_Citation,3,Humanities,Freshman,Medium,2
3.41,1,2,2,15.87,1,Actively_Encouraged,3,Humanities,Graduate,High,0
3.04,4,0,5,13.06,2,Allowed_With_Citation,3,STEM,Freshman,Low,1
4.85,2,1,1,13.47,4,Strict_Ban,1,Business,Junior,Low,1
2.51,0,0,4,11.57,3,Actively_Encouraged,4,Humanities,Sophomore,Medium,2
6.6,1,1,3,1.0,5,Allowed_With_Citation,6,STEM,Junior,Medium,2
7.72,1,1,2,7.85,2,Allowed_With_Citation,6,Humanities,Sophomore,Low,1
4.97,1,2,1,9.46,5,Allowed_With_Citation,4,Arts,Freshman,Medium,2
1.99,0,1,2,5.37,3,Actively_Encouraged,3,Business,Freshman,Low,1
2.46,4,2,5,13.83,2,Strict_Ban,4,Business,Freshman,Low,1
12.87,1,2,4,19.76,1,Allowed_With_Citation,5,Business,Freshman,High,0
4.53,0,0,3,11.1,3,Allowed_With_Citation,5,Humanities,Freshman,Medium,2
4.76,1,0,4,14.42,3,Actively_Encouraged,3,STEM,Senior,Medium,2
2.71,4,2,4,1.0,3,Allowed_With_Citation,2,STEM,Freshman,Low,1
7.78,3,0,3,9.61,1,Actively_Encouraged,2,Arts,Sophomore,Medium,2
2.37,2,1,3,11.21,2,Actively_Encouraged,1,Medical,Senior,Low,1
4.05,3,2,1,6.61,3,Allowed_With_Citation,6,Humanities,Freshman,Medium,2
2.73,3,1,1,8.39,3,Strict_Ban,1,STEM,Graduate,Low,1
13.26,0,1,3,17.61,7,Strict_Ban,9,STEM,Junior,Low,1
5.01,0,2,2,4.54,1,Actively_Encouraged,5,Humanities,Graduate,Medium,2
4.6,2,1,2,19.39,5,Actively_Encouraged,8,Business,Freshman,Medium,2
13.02,2,2,4,6.87,6,Strict_Ban,7,STEM,Freshman,Medium,2
0.38,1,2,3,19.09,3,Strict_Ban,1,Medical,Junior,Low,1
0.2,3,0,5,1.0,2,Allowed_With_Citation,4,Humanities,Sophomore,Medium,2
2.62,3,2,3,4.9,3,Allowed_With_Citation,5,Medical,Junior,Low,1
3.88,3,1,3,8.03,3,Allowed_With_Citation,7,Arts,Junior,Low,1
15.43,4,1,3,20.68,6,Allowed_With_Citation,4,Arts,Junior,High,0
0.78,3,0,4,14.78,1,Strict_Ban,1,Business,Graduate,Low,1
21.67,4,1,2,10.89,10,Strict_Ban,9,Business,Freshman,High,0
40.0,3,2,4,6.08,9,Actively_Encouraged,6,Business,Junior,High,0
0.91,3,0,5,2.95,3,Allowed_With_Citation,6,Business,Sophomore,Medium,2
12.77,3,0,3,12.4,2,Allowed_With_Citation,2,Business,Senior,Medium,2
0.35,4,2,3,11.51,3,Allowed_With_Citation,3,Medical,Freshman,Low,1
1.63,0,2,3,10.54,3,Actively_Encouraged,1,Business,Junior,Low,1
4.55,3,2,4,11.05,2,Strict_Ban,7,Arts,Junior,Low,1
1.82,1,2,3,5.55,4,Strict_Ban,4,Medical,Graduate,Medium,2
15.02,0,0,3,8.6,4,Allowed_With_Citation,6,STEM,Senior,Medium,2
10.05,1,1,1,4.83,4,Allowed_With_Citation,7,STEM,Freshman,Medium,2
1.21,3,0,4,12.84,2,Allowed_With_Citation,2,Humanities,Junior,Medium,2
10.47,3,1,1,10.23,3,Actively_Encouraged,6,Business,Senior,High,0
7.8,0,1,1,4.74,5,Strict_Ban,8,Arts,Junior,Medium,2
2.14,1,2,4,3.97,2,Allowed_With_Citation,3,Humanities,Sophomore,Medium,2
5.37,3,1,2,23.17,1,Allowed_With_Citation,4,Business,Sophomore,Medium,2
5.75,3,1,1,9.9,3,Allowed_With_Citation,3,Business,Sophomore,Medium,2
6.51,3,0,4,7.07,3,Strict_Ban,1,STEM,Freshman,Low,1
7.75,3,1,3,13.43,4,Actively_Encouraged,2,Business,Senior,High,0
4.27,0,2,2,18.45,1,Allowed_With_Citation,1,Arts,Junior,High,0
3.12,1,0,3,7.7,4,Allowed_With_Citation,6,STEM,Sophomore,High,0
0.28,3,1,3,21.04,2,Allowed_With_Citation,7,Business,Junior,Low,1
5.19,3,1,2,6.08,3,Actively_Encouraged,5,Business,Sophomore,Low,1
4.28,4,0,4,13.88,4,Allowed_With_Citation,2,STEM,Sophomore,Medium,2
2.55,1,1,3,10.47,3,Allowed_With_Citation,4,STEM,Senior,Medium,2
8.87,0,2,2,8.37,4,Allowed_With_Citation,4,Medical,Senior,Medium,2
12.19,0,1,1,22.92,5,Allowed_With_Citation,5,Humanities,Junior,High,0
9.35,2,2,3,4.43,5,Allowed_With_Citation,8,STEM,Senior,Medium,2
6.68,1,2,2,8.51,2,Allowed_With_Citation,6,STEM,Sophomore,Low,1
